experiment_id,parent_experiment,timestamp,hypothesis,feature_set,model,parameters,cv_strategy,seed,mean_accuracy,std_accuracy,minimum_fold,macro_f1,balanced_accuracy,train_score,overfit_gap,runtime,accepted,notes
EXP-001,None,2026-07-15 20:17:56,SVC RBF baseline,raw features,SVC RBF,"{C:10, gamma:scale}","RepeatedStratifiedKFold(5,2)",42,0.474844,0.015027,0.445312,0.472726,0.473160,0.999922,0.525078,26.41,Ya,Baseline SVC RBF
EXP-002,None,2026-07-15 20:18:07,RandomForest baseline,raw features,RandomForest,"{n_estimators:300, max_depth:12, min_samples_leaf:4}","RepeatedStratifiedKFold(5,2)",42,0.404687,0.022502,0.360938,0.371023,0.401690,0.978867,0.574180,11.42,Tidak,Baseline RF
EXP-006,EXP-005,2026-07-15 20:30:38,Engineered features significantly improve SVC RBF over raw features,full_engineered,SVC_RBF,"{'C': 10, 'break_ties': False, 'cache_size': 200, 'class_weight': None, 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1, 'probability': True, 'random_state': 42, 'shrinking': True, 'tol': 0.001, 'verbose': False}","RepeatedStratifiedKFold(5,2)",42,0.515625,0.019307,0.482812,0.511377,0.510934,1.000000,0.487344,34.46,Ya,
EXP-007,EXP-006,2026-07-15 20:31:32,RandomForest should benefit from engineered features,full_engineered,RandomForest,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 14, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 3, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 400, 'n_jobs': -1, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}","RepeatedStratifiedKFold(5,2)",42,0.477500,0.014909,0.442188,0.461445,0.469981,0.992617,0.520117,53.34,Tidak,
EXP-008,EXP-007,2026-07-15 20:33:38,XGBoost with engineered features,full_engineered,XGBoost,"{'objective': 'binary:logistic', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.8, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': True, 'eval_metric': None, 'feature_types': None, 'feature_weights': None, 'gamma': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.05, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 6, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': 400, 'n_jobs': -1, 'num_parallel_tree': None, 'random_state': 42, 'reg_alpha': None, 'reg_lambda': None, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.8, 'tree_method': None, 'validate_parameters': None, 'verbosity': 0}","RepeatedStratifiedKFold(5,2)",42,0.505313,0.012038,0.481250,0.494933,0.504217,1.000000,0.493438,126.31,Tidak,
EXP-009,EXP-007,2026-07-15 20:34:27,LightGBM with engineered features,full_engineered,LightGBM,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.8, 'importance_type': 'split', 'learning_rate': 0.05, 'max_depth': 8, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 400, 'n_jobs': -1, 'num_leaves': 31, 'objective': None, 'random_state': 42, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'subsample': 0.8, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'verbose': -1}","RepeatedStratifiedKFold(5,2)",42,0.491563,0.017273,0.478125,0.483318,0.495161,1.000000,0.502656,48.52,Tidak,
EXP-005,EXP-006,2026-07-15 20:37:07,SVC on full_pca features,full_pca,SVC_full_pca,"{'C': 10, 'break_ties': False, 'cache_size': 200, 'class_weight': None, 'coef0': 0.0, 'decision_func","RepeatedStratifiedKFold(5,2)",42,0.516250,0.018118,0.487500,0.512209,0.514669,1.000000,0.483594,34.29,Marginal,improvement=0.0007
EXP-006,EXP-006,2026-07-15 20:37:52,SVC on full_advanced features,full_advanced,SVC_full_advanced,"{'C': 10, 'break_ties': False, 'cache_size': 200, 'class_weight': None, 'coef0': 0.0, 'decision_func","RepeatedStratifiedKFold(5,2)",42,0.523438,0.011884,0.500000,0.518972,0.517737,0.999961,0.480430,45.14,Ya,improvement=0.0078
EXP-005,EXP-006,2026-07-15 20:38:53,SVC on full_pca features,full_pca,SVC_full_pca,"{'C': 10, 'break_ties': False, 'cache_size': 200, 'class_weight': None, 'coef0': 0.0, 'decision_func","RepeatedStratifiedKFold(5,2)",42,0.516250,0.018118,0.487500,0.512209,0.514669,1.000000,0.483594,36.22,Marginal,improvement=0.0007
EXP-006,EXP-006,2026-07-15 20:39:39,SVC on full_advanced features,full_advanced,SVC_full_advanced,"{'C': 10, 'break_ties': False, 'cache_size': 200, 'class_weight': None, 'coef0': 0.0, 'decision_func","RepeatedStratifiedKFold(5,2)",42,0.523438,0.011884,0.500000,0.518972,0.517737,0.999961,0.480430,45.81,Ya,improvement=0.0078
