experiment_id,parent_experiment,timestamp,hypothesis,feature_set,model,parameters,cv_strategy,seed,mean_accuracy,std_accuracy,minimum_fold,macro_f1,balanced_accuracy,train_score,overfit_gap,runtime,accepted,notes
FOR-129,EXP-027,2026-07-16 00:32:07,Sequence features from weekly scores,base+seq,SVC_seqfeat,"C=50,gamma=auto","RSKF(5,2)",42,0.527813,0.016325,0.495312,0.524273,0.525950,1.000000,0.473750,42.67,Tidak,SVC_seqfeat=0.5278
FOR-130,EXP-027,2026-07-16 00:32:33,RF with sequence features,base+seq,RF_seqfeat,"n_estimators=400,max_depth=14","RSKF(5,2)",42,0.508125,0.013310,0.485938,0.493262,0.505555,0.997617,0.491055,26.26,Tidak,RF_seqfeat=0.5081
FOR-131,EXP-027,2026-07-16 00:36:33,"Stack ['SVC', 'CatBoost', 'HGB'] + seq features",stack_seq,Stack_LR_C0.5_seq,C=0.5,"RSKF(5,2)",42,0.594063,0.012794,0.567187,0.588629,0.592227,0.599922,0.006953,0.37,Ya,Stack_LR_C0.5_seqfeat=0.5941
FOR-129,EXP-027,2026-07-16 00:39:05,Sequence features from weekly scores,base+seq,SVC_seqfeat,"C=50,gamma=auto","RSKF(5,2)",42,0.527813,0.016325,0.495312,0.524273,0.525950,1.000000,0.473750,48.77,Tidak,SVC_seqfeat=0.5278
FOR-130,EXP-027,2026-07-16 00:39:34,RF with sequence features,base+seq,RF_seqfeat,"n_estimators=400,max_depth=14","RSKF(5,2)",42,0.508125,0.013310,0.485938,0.493262,0.505555,0.997617,0.491055,29.45,Tidak,RF_seqfeat=0.5081
FOR-131,EXP-027,2026-07-16 00:43:44,"Stack ['SVC', 'CatBoost', 'HGB'] + seq features",stack_seq,Stack_LR_C0.5_seq,C=0.5,"RSKF(5,2)",42,0.594063,0.012794,0.567187,0.588629,0.592227,0.599922,0.006953,0.35,Ya,Stack_LR_C0.5_seqfeat=0.5941
FOR-132,FOR-131,2026-07-16 00:44:57,SVC with cluster + KNN features,base+seq+cluster,SVC_cluster,"C=50,gamma=auto","RSKF(5,2)",42,0.559063,0.022513,0.500000,0.555552,0.557319,1.000000,0.446875,52.33,Tidak,SVC_cluster=0.5591
FOR-133,FOR-131,2026-07-16 00:48:40,CatBoost with cluster + KNN features,base+seq+cluster,CatBoost_cluster,"n_estimators=400,depth=6,lr=0.05","RSKF(5,2)",42,0.561250,0.021080,0.526563,0.553426,0.559143,0.919609,0.356641,222.73,Tidak,CatBoost_cluster=0.5613
FOR-134,FOR-131,2026-07-16 00:53:57,Stack+OVO C=0.5,base+seq+cluster+ovo,Stack_LR_C0.5_OVO,C=0.5,"RSKF(5,2)",42,0.877188,0.011883,0.859375,0.877718,0.878063,0.881367,0.003867,0.59,Ya,acc=0.8772
FOR-135,FOR-134,2026-07-16 00:53:58,Stack+OVO C=1.0,base+seq+cluster+ovo,Stack_LR_C1.0_OVO,C=1.0,"RSKF(5,2)",42,0.875313,0.012426,0.864062,0.875861,0.876192,0.881563,0.004063,0.56,Tidak,acc=0.8753
FOR-136,FOR-134,2026-07-16 00:53:58,Stack+OVO C=5.0,base+seq+cluster+ovo,Stack_LR_C5.0_OVO,C=5.0,"RSKF(5,2)",42,0.876875,0.012885,0.859375,0.877420,0.877742,0.882148,0.004023,0.55,Tidak,acc=0.8769
FOR-129,EXP-027,2026-07-16 00:57:04,Sequence features from weekly scores,base+seq,SVC_seqfeat,"C=50,gamma=auto","RSKF(5,2)",42,0.527813,0.016325,0.495312,0.524273,0.525950,1.000000,0.473750,52.30,Tidak,SVC_seqfeat=0.5278
FOR-130,EXP-027,2026-07-16 00:57:36,RF with sequence features,base+seq,RF_seqfeat,"n_estimators=400,max_depth=14","RSKF(5,2)",42,0.508125,0.013310,0.485938,0.493262,0.505555,0.997617,0.491055,31.78,Tidak,RF_seqfeat=0.5081
FOR-131,EXP-027,2026-07-16 01:01:51,"Stack ['SVC', 'CatBoost', 'HGB'] + seq features",stack_seq,Stack_LR_C0.5_seq,C=0.5,"RSKF(5,2)",42,0.594063,0.012794,0.567187,0.588629,0.592227,0.599922,0.006953,0.39,Ya,Stack_LR_C0.5_seqfeat=0.5941
FOR-132,FOR-131,2026-07-16 01:03:13,SVC with cluster + KNN features,base+seq+cluster,SVC_cluster,"C=50,gamma=auto","RSKF(5,2)",42,0.559063,0.022513,0.500000,0.555552,0.557319,1.000000,0.446875,59.71,Tidak,SVC_cluster=0.5591
FOR-133,FOR-131,2026-07-16 01:07:30,CatBoost with cluster + KNN features,base+seq+cluster,CatBoost_cluster,"n_estimators=400,depth=6,lr=0.05","RSKF(5,2)",42,0.561250,0.021080,0.526563,0.553426,0.559143,0.919609,0.356641,256.82,Tidak,CatBoost_cluster=0.5613
FOR-134,FOR-131,2026-07-16 01:13:19,Stack+Ordinal C=0.1 seq features,base+seq,Stack_LR_C0.1_Ord_seq,C=0.1,"RSKF(5,2)",42,0.597500,0.012227,0.575000,0.591798,0.595676,0.601484,0.005547,0.48,Ya,acc=0.5975
FOR-135,FOR-134,2026-07-16 01:13:20,Stack+Ordinal C=0.5 seq features,base+seq,Stack_LR_C0.5_Ord_seq,C=0.5,"RSKF(5,2)",42,0.596875,0.012659,0.576562,0.591219,0.595043,0.600820,0.004570,0.74,Tidak,acc=0.5969
FOR-136,FOR-134,2026-07-16 01:13:21,Stack+Ordinal C=1.0 seq features,base+seq,Stack_LR_C1.0_Ord_seq,C=1.0,"RSKF(5,2)",42,0.596250,0.012284,0.576562,0.590632,0.594414,0.600977,0.005195,0.71,Tidak,acc=0.5962
FOR-137,FOR-134,2026-07-16 01:13:22,Stack+Ordinal C=5.0 seq features,base+seq,Stack_LR_C5.0_Ord_seq,C=5.0,"RSKF(5,2)",42,0.595625,0.012327,0.576562,0.590046,0.593786,0.600820,0.004883,1.40,Tidak,acc=0.5956
FOR-129,EXP-027,2026-07-16 01:15:21,Sequence features from weekly scores,base+seq,SVC_seqfeat,"C=50,gamma=auto","RSKF(5,2)",42,0.527813,0.016325,0.495312,0.524273,0.525950,1.000000,0.473750,64.02,Tidak,SVC_seqfeat=0.5278
FOR-130,EXP-027,2026-07-16 01:15:54,RF with sequence features,base+seq,RF_seqfeat,"n_estimators=400,max_depth=14","RSKF(5,2)",42,0.508125,0.013310,0.485938,0.493262,0.505555,0.997617,0.491055,33.67,Tidak,RF_seqfeat=0.5081
FOR-131,EXP-027,2026-07-16 01:20:35,"Stack ['SVC', 'CatBoost', 'HGB'] + seq features",stack_seq,Stack_LR_C0.5_seq,C=0.5,"RSKF(5,2)",42,0.594063,0.012794,0.567187,0.588629,0.592227,0.599922,0.006953,0.47,Ya,Stack_LR_C0.5_seqfeat=0.5941
FOR-132,FOR-131,2026-07-16 01:21:47,SVC with cluster + KNN features,base+seq+cluster,SVC_cluster,"C=50,gamma=auto","RSKF(5,2)",42,0.559063,0.022513,0.500000,0.555552,0.557319,1.000000,0.446875,50.60,Tidak,SVC_cluster=0.5591
FOR-133,FOR-131,2026-07-16 01:25:05,CatBoost with cluster + KNN features,base+seq+cluster,CatBoost_cluster,"n_estimators=400,depth=6,lr=0.05","RSKF(5,2)",42,0.561250,0.021080,0.526563,0.553426,0.559143,0.919609,0.356641,198.15,Tidak,CatBoost_cluster=0.5613
FOR-134,FOR-131,2026-07-16 01:28:51,Stack+Ordinal C=0.1 seq features,base+seq,Stack_LR_C0.1_Ord_seq,C=0.1,"RSKF(5,2)",42,0.597500,0.012227,0.575000,0.591798,0.595676,0.601484,0.005547,0.30,Ya,acc=0.5975
FOR-135,FOR-134,2026-07-16 01:28:51,Stack+Ordinal C=0.5 seq features,base+seq,Stack_LR_C0.5_Ord_seq,C=0.5,"RSKF(5,2)",42,0.596875,0.012659,0.576562,0.591219,0.595043,0.600820,0.004570,0.29,Tidak,acc=0.5969
FOR-136,FOR-134,2026-07-16 01:28:52,Stack+Ordinal C=1.0 seq features,base+seq,Stack_LR_C1.0_Ord_seq,C=1.0,"RSKF(5,2)",42,0.596250,0.012284,0.576562,0.590632,0.594414,0.600977,0.005195,0.34,Tidak,acc=0.5962
FOR-137,FOR-134,2026-07-16 01:28:52,Stack+Ordinal C=5.0 seq features,base+seq,Stack_LR_C5.0_Ord_seq,C=5.0,"RSKF(5,2)",42,0.595625,0.012327,0.576562,0.590046,0.593786,0.600820,0.004883,0.36,Tidak,acc=0.5956
