id,target,dominant_prediction,correct_models,total_models,correct_ratio,majority_count,confidence,majority_correct,pred_SVC_s42,correct_SVC_s42,pred_SVC_s123,correct_SVC_s123,pred_SVC_s2026,correct_SVC_s2026,pred_CatBoost_s42,correct_CatBoost_s42,pred_CatBoost_s123,correct_CatBoost_s123,pred_CatBoost_s2026,correct_CatBoost_s2026,pred_RF_s42,correct_RF_s42,pred_RF_s123,correct_RF_s123,pred_RF_s2026,correct_RF_s2026,pred_ET_s42,correct_ET_s42,pred_ET_s123,correct_ET_s123,pred_ET_s2026,correct_ET_s2026,pred_HGB_s42,correct_HGB_s42,pred_HGB_s123,correct_HGB_s123,pred_HGB_s2026,correct_HGB_s2026,category
0,3,3,13,15,0.8666666666666667,13,0.8666666666666667,1,3,1,2,0,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,2,0,3,1,EASY_CORRECT
1,1,0,4,15,0.26666666666666666,11,0.7333333333333333,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,UNCERTAIN
2,3,2,4,15,0.26666666666666666,11,0.7333333333333333,0,2,0,2,0,3,1,2,0,2,0,3,1,2,0,2,0,2,0,2,0,2,0,3,1,2,0,2,0,3,1,UNCERTAIN
3,1,1,11,15,0.7333333333333333,11,0.7333333333333333,1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,3,0,2,0,BORDERLINE_CORRECT
4,3,3,15,15,1.0,15,1.0,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,EASY_CORRECT
5,1,3,0,15,0.0,14,0.9333333333333333,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,2,0,3,0,3,0,CONSISTENTLY_WRONG
6,1,0,4,15,0.26666666666666666,8,0.5333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,2,0,1,1,1,1,0,0,0,0,2,0,UNCERTAIN
7,0,1,3,15,0.2,12,0.8,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,UNCERTAIN
8,1,2,3,15,0.2,9,0.6,0,0,0,0,0,0,0,2,0,2,0,1,1,2,0,2,0,2,0,2,0,2,0,2,0,1,1,1,1,2,0,UNCERTAIN
9,2,2,13,15,0.8666666666666667,13,0.8666666666666667,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,3,0,2,1,2,1,2,1,2,1,2,1,3,0,2,1,EASY_CORRECT
